Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HARMONY SCHOOL OF EXCELLENCE (101858) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
Reading and Mathematics Including EOC,2019,44%,44%,43%,37%,35%,57%,-,74%,-,50%,11%,29%,54%,33%,36%,38%
,2018,44%,44%,45%,45%,38%,46%,-,67%,-,10%,30%,33%,49%,42%,38%,39%
Reading Including EOC,2019,54%,54%,51%,49%,43%,64%,-,77%,-,64%,24%,57%,60%,43%,45%,45%
,2018,54%,54%,55%,54%,50%,56%,-,73%,-,40%,33%,50%,61%,51%,49%,47%
Math Including EOC,2019,58%,59%,55%,48%,45%,70%,-,93%,-,71%,22%,29%,65%,46%,46%,50%
,2018,58%,59%,57%,55%,49%,57%,-,86%,-,40%,39%,33%,63%,53%,50%,53%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,34%,32%,24%,56%,-,64%,-,43%,23%,0%,39%,31%,25%,23%
,2018,31%,33%,38%,33%,28%,54%,*,61%,-,57%,6%,42%,45%,34%,27%,29%
Reading and Mathematics Including EOC,2019,31%,32%,34%,32%,24%,56%,-,64%,-,43%,23%,0%,39%,31%,25%,23%
,2018,31%,33%,38%,33%,28%,54%,*,61%,-,57%,6%,42%,45%,34%,27%,29%
Reading Including EOC,2019,37%,38%,41%,38%,33%,58%,-,68%,-,43%,28%,0%,48%,36%,33%,31%
,2018,39%,41%,45%,40%,36%,57%,*,64%,-,64%,10%,42%,51%,40%,34%,38%
Math Including EOC,2019,48%,49%,56%,53%,47%,71%,-,88%,-,43%,31%,63%,62%,51%,48%,48%
