Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
GALENA PARK ISD (101910) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Meets Grade Level or Above,2021,30%,31%,22%,19%,22%,24%,0%,44%,-,39%,11%,13%,24%,16%,19%,20%
,2019,38%,39%,33%,25%,34%,36%,40%,79%,*,35%,13%,18%,36%,26%,32%,34%
At Masters Grade Level,2021,9%,9%,5%,4%,5%,5%,0%,19%,-,6%,2%,0%,5%,3%,4%,4%
,2019,14%,15%,9%,6%,10%,10%,0%,42%,*,5%,3%,6%,10%,6%,9%,10%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,66%,64%,66%,68%,83%,100%,-,80%,37%,58%,69%,56%,65%,61%
,2019,81%,82%,82%,79%,82%,86%,93%,95%,*,96%,43%,77%,85%,73%,81%,80%
At Meets Grade Level or Above,2021,44%,45%,35%,31%,36%,38%,33%,78%,-,60%,19%,27%,39%,25%,33%,29%
,2019,54%,55%,51%,46%,51%,60%,53%,81%,*,59%,21%,48%,55%,38%,49%,47%
At Masters Grade Level,2021,20%,22%,12%,10%,12%,13%,0%,48%,-,12%,3%,10%,13%,7%,11%,9%
,2019,25%,27%,18%,13%,18%,26%,13%,51%,*,22%,6%,9%,20%,11%,16%,14%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,62%,60%,62%,68%,*,88%,*,90%,37%,48%,64%,52%,60%,48%
,2019,81%,81%,79%,78%,79%,76%,71%,92%,-,75%,45%,78%,81%,70%,77%,70%
At Meets Grade Level or Above,2021,49%,51%,35%,31%,35%,46%,*,81%,*,30%,21%,30%,38%,25%,33%,20%
,2019,55%,57%,51%,49%,51%,53%,29%,75%,-,63%,22%,47%,54%,40%,49%,36%
At Masters Grade Level,2021,29%,31%,16%,12%,16%,24%,*,56%,*,20%,7%,9%,17%,11%,15%,7%
,2019,33%,36%,26%,21%,26%,30%,14%,58%,-,31%,9%,28%,28%,18%,24%,15%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,14%,10%,14%,24%,*,67%,-,22%,8%,9%,15%,12%,12%,12%
,2019,35%,36%,30%,21%,32%,28%,*,50%,-,45%,18%,24%,32%,23%,28%,32%
Reading and Mathematics Including EOC,2021,24%,25%,14%,10%,14%,24%,*,67%,-,22%,8%,9%,15%,12%,12%,12%
,2019,35%,36%,30%,21%,32%,28%,*,50%,-,45%,18%,24%,32%,23%,28%,32%
Reading Including EOC,2021,38%,39%,27%,23%,27%,43%,*,78%,-,33%,9%,14%,28%,25%,24%,25%
,2019,45%,45%,41%,36%,42%,44%,*,63%,-,55%,22%,36%,43%,34%,39%,43%
Math Including EOC,2021,31%,31%,23%,15%,23%,31%,*,67%,-,22%,12%,32%,24%,17%,20%,23%
,2019,49%,48%,46%,30%,48%,46%,*,75%,-,55%,25%,52%,48%,36%,44%,49%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,19%,15%,19%,22%,0%,38%,-,20%,9%,23%,20%,14%,17%,20%
,2019,35%,36%,28%,22%,29%,41%,20%,67%,*,18%,11%,16%,30%,23%,27%,29%
Reading and Mathematics Including EOC,2021,26%,27%,19%,15%,19%,22%,0%,38%,-,20%,9%,23%,20%,14%,17%,20%
,2019,35%,36%,28%,22%,29%,41%,20%,67%,*,18%,11%,16%,30%,23%,27%,29%
Reading Including EOC,2021,36%,37%,29%,25%,30%,30%,0%,50%,-,50%,11%,23%,31%,25%,26%,29%
,2019,44%,45%,36%,30%,37%,42%,20%,67%,*,18%,13%,16%,38%,30%,35%,36%
Math Including EOC,2021,36%,36%,29%,19%,31%,36%,20%,75%,-,20%,16%,31%,31%,25%,27%,33%
,2019,48%,49%,47%,39%,47%,55%,40%,67%,*,27%,15%,39%,49%,38%,45%,48%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,26%,17%,27%,32%,-,43%,-,40%,15%,21%,28%,20%,24%,28%
,2019,44%,44%,37%,28%,37%,45%,*,67%,*,63%,14%,12%,40%,28%,34%,37%
Reading and Mathematics Including EOC,2021,34%,35%,26%,17%,27%,32%,-,43%,-,40%,15%,21%,28%,20%,24%,28%
,2019,44%,44%,37%,28%,37%,45%,*,67%,*,63%,14%,12%,40%,28%,34%,37%
Reading Including EOC,2021,46%,47%,37%,27%,38%,43%,-,57%,-,70%,21%,32%,39%,33%,35%,40%
,2019,54%,54%,45%,42%,44%,54%,*,83%,*,75%,17%,19%,47%,37%,42%,44%
