Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
GALENA PARK ISD (101910) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,41%,42%,37%,37%,36%,45%,38%,79%,*,39%,15%,20%,39%,30%,35%,35%
At Masters Grade Level,2019,14%,15%,9%,6%,10%,10%,0%,42%,*,5%,3%,6%,10%,6%,9%,10%
,2018,13%,13%,9%,7%,9%,16%,13%,38%,*,0%,3%,4%,10%,6%,8%,8%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,82%,79%,82%,86%,93%,95%,*,96%,43%,77%,85%,73%,81%,80%
,2018,80%,80%,80%,79%,80%,86%,63%,87%,*,83%,47%,77%,82%,73%,79%,76%
At Meets Grade Level or Above,2019,54%,55%,51%,46%,51%,60%,53%,81%,*,59%,21%,48%,55%,38%,49%,47%
,2018,51%,52%,45%,38%,46%,55%,50%,74%,*,52%,19%,41%,48%,36%,43%,40%
At Masters Grade Level,2019,25%,27%,18%,13%,18%,26%,13%,51%,*,22%,6%,9%,20%,11%,16%,14%
,2018,23%,24%,15%,10%,16%,22%,25%,65%,*,17%,4%,13%,17%,11%,14%,14%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,79%,78%,79%,76%,71%,92%,-,75%,45%,78%,81%,70%,77%,70%
,2018,78%,79%,71%,69%,71%,77%,*,95%,*,79%,36%,71%,74%,61%,69%,58%
At Meets Grade Level or Above,2019,55%,57%,51%,49%,51%,53%,29%,75%,-,63%,22%,47%,54%,40%,49%,36%
,2018,53%,54%,45%,45%,44%,49%,*,77%,*,58%,17%,46%,48%,34%,43%,27%
At Masters Grade Level,2019,33%,36%,26%,21%,26%,30%,14%,58%,-,31%,9%,28%,28%,18%,24%,15%
,2018,31%,32%,22%,23%,21%,28%,*,64%,*,37%,5%,29%,24%,15%,20%,11%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,30%,21%,32%,28%,*,50%,-,45%,18%,24%,32%,23%,28%,32%
,2018,34%,34%,28%,24%,29%,29%,20%,60%,-,25%,14%,8%,30%,22%,27%,31%
Reading and Mathematics Including EOC,2019,35%,36%,30%,21%,32%,28%,*,50%,-,45%,18%,24%,32%,23%,28%,32%
,2018,34%,34%,28%,24%,29%,29%,20%,60%,-,25%,14%,8%,30%,22%,27%,31%
Reading Including EOC,2019,45%,45%,41%,36%,42%,44%,*,63%,-,55%,22%,36%,43%,34%,39%,43%
,2018,43%,44%,37%,34%,37%,39%,40%,60%,-,33%,18%,17%,39%,31%,36%,41%
Math Including EOC,2019,49%,48%,46%,30%,48%,46%,*,75%,-,55%,25%,52%,48%,36%,44%,49%
,2018,47%,48%,46%,39%,47%,48%,20%,80%,-,42%,20%,24%,49%,37%,45%,50%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,28%,22%,29%,41%,20%,67%,*,18%,11%,16%,30%,23%,27%,29%
,2018,36%,37%,28%,23%,28%,37%,*,64%,*,22%,16%,19%,30%,24%,26%,28%
Reading and Mathematics Including EOC,2019,35%,36%,28%,22%,29%,41%,20%,67%,*,18%,11%,16%,30%,23%,27%,29%
,2018,36%,37%,28%,23%,28%,37%,*,64%,*,22%,16%,19%,30%,24%,26%,28%
Reading Including EOC,2019,44%,45%,36%,30%,37%,42%,20%,67%,*,18%,13%,16%,38%,30%,35%,36%
,2018,46%,46%,35%,29%,35%,42%,*,73%,*,33%,21%,19%,37%,31%,33%,35%
Math Including EOC,2019,48%,49%,47%,39%,47%,55%,40%,67%,*,27%,15%,39%,49%,38%,45%,48%
,2018,49%,51%,49%,43%,50%,50%,*,91%,*,40%,22%,52%,51%,44%,48%,51%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,37%,28%,37%,45%,*,67%,*,63%,14%,12%,40%,28%,34%,37%
,2018,44%,44%,40%,34%,40%,40%,*,71%,-,45%,20%,34%,40%,38%,39%,41%
Reading and Mathematics Including EOC,2019,44%,44%,37%,28%,37%,45%,*,67%,*,63%,14%,12%,40%,28%,34%,37%
,2018,44%,44%,40%,34%,40%,40%,*,71%,-,45%,20%,34%,40%,38%,39%,41%
Reading Including EOC,2019,54%,54%,45%,42%,44%,54%,*,83%,*,75%,17%,19%,47%,37%,42%,44%
,2018,54%,54%,47%,45%,47%,51%,*,71%,-,55%,26%,38%,48%,45%,47%,48%
Math Including EOC,2019,58%,59%,59%,44%,61%,60%,*,75%,*,75%,25%,54%,62%,48%,57%,62%
,2018,58%,59%,63%,50%,65%,71%,*,100%,-,46%,36%,61%,65%,58%,62%,69%
6th Graders,,,,,,,,,,,,,,,,,
