Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
HUMBLE ISD (101913) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,76%,63%,70%,88%,80%,91%,67%,81%,47%,69%,79%,67%,64%,59%
,2019,81%,82%,84%,73%,80%,93%,92%,94%,80%,89%,53%,88%,86%,77%,74%,71%
At Meets Grade Level or Above,2021,44%,45%,49%,33%,41%,66%,54%,71%,47%,60%,24%,43%,53%,38%,34%,29%
,2019,54%,55%,59%,42%,52%,75%,62%,81%,44%,66%,25%,57%,64%,49%,44%,37%
At Masters Grade Level,2021,20%,22%,23%,10%,16%,37%,26%,46%,19%,32%,7%,26%,26%,16%,11%,9%
,2019,25%,27%,29%,13%,21%,44%,38%,52%,19%,36%,9%,28%,32%,21%,16%,12%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,81%,70%,76%,91%,76%,90%,80%,87%,55%,72%,83%,71%,70%,58%
,2019,81%,81%,84%,76%,79%,92%,86%,95%,80%,85%,58%,80%,86%,77%,74%,59%
At Meets Grade Level or Above,2021,49%,51%,58%,43%,52%,72%,48%,72%,50%,64%,37%,51%,61%,46%,43%,28%
,2019,55%,57%,61%,45%,54%,75%,62%,82%,43%,67%,32%,52%,64%,50%,46%,26%
At Masters Grade Level,2021,29%,31%,36%,20%,29%,51%,43%,51%,27%,44%,15%,28%,39%,26%,21%,11%
,2019,33%,36%,39%,23%,32%,55%,38%,57%,13%,42%,15%,38%,43%,28%,25%,11%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,23%,11%,16%,37%,20%,40%,15%,23%,15%,11%,26%,16%,10%,14%
,2019,35%,36%,34%,22%,25%,48%,45%,61%,32%,47%,22%,31%,37%,26%,20%,24%
Reading and Mathematics Including EOC,2021,24%,25%,23%,11%,16%,37%,20%,40%,15%,23%,15%,11%,26%,16%,10%,14%
,2019,35%,36%,34%,22%,25%,48%,45%,61%,32%,47%,22%,31%,37%,26%,20%,24%
Reading Including EOC,2021,38%,39%,39%,24%,30%,55%,40%,53%,38%,45%,23%,32%,42%,28%,22%,25%
,2019,45%,45%,46%,34%,38%,59%,64%,69%,42%,58%,28%,40%,48%,38%,30%,36%
Math Including EOC,2021,31%,31%,30%,16%,23%,45%,20%,48%,25%,34%,19%,17%,33%,20%,16%,20%
,2019,49%,48%,45%,30%,37%,57%,45%,72%,40%,66%,27%,35%,47%,36%,31%,37%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,26%,13%,18%,41%,60%,43%,27%,23%,16%,23%,29%,19%,13%,14%
,2019,35%,36%,34%,19%,27%,49%,40%,54%,44%,37%,22%,22%,38%,26%,19%,23%
Reading and Mathematics Including EOC,2021,26%,27%,26%,13%,18%,41%,60%,43%,27%,23%,16%,23%,29%,19%,13%,14%
,2019,35%,36%,34%,19%,27%,49%,40%,54%,44%,37%,22%,22%,38%,26%,19%,23%
Reading Including EOC,2021,36%,37%,37%,25%,29%,53%,60%,52%,33%,34%,19%,34%,40%,30%,21%,20%
,2019,44%,45%,45%,28%,39%,60%,50%,62%,50%,47%,25%,39%,49%,37%,27%,32%
Math Including EOC,2021,36%,36%,36%,18%,28%,53%,60%,58%,33%,35%,22%,34%,39%,27%,21%,25%
,2019,48%,49%,44%,26%,38%,59%,50%,64%,44%,47%,28%,34%,48%,36%,29%,37%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,35%,21%,25%,51%,44%,65%,7%,48%,15%,37%,38%,27%,18%,21%
,2019,44%,44%,46%,27%,38%,62%,14%,81%,21%,56%,19%,44%,51%,34%,28%,35%
