Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
HUMBLE ISD (101913) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2019,14%,15%,14%,7%,8%,21%,9%,31%,13%,17%,6%,8%,15%,10%,6%,5%
,2018,13%,13%,14%,7%,9%,22%,11%,28%,0%,20%,6%,12%,16%,12%,7%,5%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,84%,73%,80%,93%,92%,94%,80%,89%,53%,88%,86%,77%,74%,71%
,2018,80%,80%,85%,75%,82%,92%,86%,95%,79%,88%,52%,82%,87%,79%,77%,72%
At Meets Grade Level or Above,2019,54%,55%,59%,42%,52%,75%,62%,81%,44%,66%,25%,57%,64%,49%,44%,37%
,2018,51%,52%,59%,42%,51%,74%,66%,80%,63%,60%,29%,58%,63%,49%,45%,35%
At Masters Grade Level,2019,25%,27%,29%,13%,21%,44%,38%,52%,19%,36%,9%,28%,32%,21%,16%,12%
,2018,23%,24%,29%,14%,21%,44%,40%,51%,23%,35%,8%,31%,33%,21%,17%,11%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,84%,76%,79%,92%,86%,95%,80%,85%,58%,80%,86%,77%,74%,59%
,2018,78%,79%,84%,75%,80%,92%,92%,93%,78%,84%,54%,82%,87%,77%,75%,61%
At Meets Grade Level or Above,2019,55%,57%,61%,45%,54%,75%,62%,82%,43%,67%,32%,52%,64%,50%,46%,26%
,2018,53%,54%,62%,46%,53%,77%,88%,80%,70%,62%,32%,60%,66%,52%,48%,28%
At Masters Grade Level,2019,33%,36%,39%,23%,32%,55%,38%,57%,13%,42%,15%,38%,43%,28%,25%,11%
