Primary_Key,School_Name,Test_Score,"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",School_Year,State,Region_04,District,African_American,Hispanic,White,Econ_Disadv,ELL
Galena_Park_ISD_Grade 6 Mathematics,Galena_Park_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.78,0.66,0.8,0.81,0.77,0.81
Galena_Park_ISD_Grade 6 Mathematics,Galena_Park_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.78,0.66,0.8,0.81,0.77,0.81
Cypress_Fairbanks_ISD_Grade 5 Mathematics,Cypress_Fairbanks_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.81,0.68,0.78,0.91,0.73,0.81
Cypress_Fairbanks_ISD_Grade 5 Mathematics,Cypress_Fairbanks_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.81,0.68,0.78,0.91,0.73,0.81
Katy_ISD_Grade 4 Mathematics,Katy_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.81,0.68,0.74,0.88,0.69,0.81
Katy_ISD_Grade 4 Mathematics,Katy_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2022,0.7,0.7,0.81,0.68,0.74,0.88,0.69,0.81
La_Porte_ISD_Grade 7 Reading,La_Porte_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.8,0.81,0.84,0.61,0.86,0.87,0.8,0.8
La_Porte_ISD_Grade 7 Reading,La_Porte_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2022,0.8,0.81,0.84,0.61,0.86,0.87,0.8,0.8
Crosby_ISD_Grade 4 Reading,Crosby_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.83,0.74,0.83,0.86,0.79,0.8
Crosby_ISD_Grade 4 Reading,Crosby_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2022,0.77,0.77,0.83,0.74,0.83,0.86,0.79,0.8
Harmony_Schools_Grade 6 Mathematics,Harmony_Schools,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.82,0.8,0.79,0.86,0.79,0.8
Harmony_Schools_Grade 6 Mathematics,Harmony_Schools,Grade 6 Mathematics,At Approaches Grade Level or Above,2022,0.73,0.73,0.82,0.8,0.79,0.86,0.79,0.8
Deer_Park_ISD_Grade 6 Mathematics,Deer_Park_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.85,0.71,0.82,0.91,0.78,0.8
Deer_Park_ISD_Grade 6 Mathematics,Deer_Park_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,0.68,0.68,0.85,0.71,0.82,0.91,0.78,0.8
Channelview_ISD_Grade 5 Reading,Channelview_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.78,0.63,0.79,0.82,0.77,0.8
Channelview_ISD_Grade 5 Reading,Channelview_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2022,0.81,0.81,0.78,0.63,0.79,0.82,0.77,0.8
Channelview_ISD_Grade 5 Mathematics,Channelview_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2022,0.77,0.76,0.77,0.62,0.78,0.82,0.77,0.8
